Addresse,Code_insee,Departement,Latitude,Longitude,MinDistGar,MoyDistGar,train,rer,metro,tramway,Distance,DurationPoliceMin
Argenteuil 95100 (Les Coteaux),95100,95,48.9595205,2.2388359,1.1707321319474902,24.045458161471444,1,0,0,0,2.0062008989394897,0.12444444444444444
Argenteuil 95100 (Orgemont - Volembert),95100,95,48.9569895,2.2832754,0.7593194443572195,22.922394352196466,0,1,0,0,2.251448318298598,0.15388888888888888
Argenteuil 95100 (Val Notre Dame),95100,95,48.941516,2.207981,1.9559125000956268,23.971992969525367,1,0,0,0,1.4861982492283008,0.08055555555555556
Argenteuil 95100 (Val Sud),95100,95,48.946814200000006,2.2385848,0.6711266208943198,23.29806545443602,1,0,0,0,1.2377596766983885,0.12111111111111111
Armentières-en-Brie 77440,77440,77,48.978662400000005,3.0216469,2.1928916399177956,56.30224541258548,1,0,0,0,9.871377542773171,0.31666666666666665
Arnouville 95400,95400,95,48.9892126,2.4202824,0.5894822138955361,25.819513595418822,0,1,0,0,1.7357062404008585,0.09777777777777778
Arnouville 95400 (Centre-ville),95400,95,48.9892126,2.4202824,0.5894822138955361,25.819513595418822,0,1,0,0,1.7357062404008585,0.09777777777777778
Arnouville 95400 (Claude Demange),95400,95,48.9833,2.4167,1.165762151618682,25.30385623385597,0,1,0,0,1.8252341227765552,0.1622222222222222
Arnouville 95400 (Cottage - Beauséjour),95400,95,48.9867689,2.4205692,0.8427782240877949,25.643526028942258,0,1,0,0,1.9720704584924968,0.11888888888888889
Arnouville 95400 (Robert Schuman - Stade),95400,95,48.9833,2.4167,1.165762151618682,25.30385623385597,0,1,0,0,1.8252341227765552,0.1622222222222222
Arnouville 95400 (Vieux Pays - Le Petit Parc),95400,95,48.9833,2.4167,1.165762151618682,25.30385623385597,0,1,0,0,1.8252341227765552,0.1622222222222222
Arpajon 91290,91290,91,48.590289899999995,2.2477303,0.6842190070530461,36.320658423205586,0,1,0,0,0.3374225390526745,0.04388888888888889
Asnières-sur-Oise 95270,95270,95,49.1339089,2.3541273,2.180963979975788,37.88043570967973,1,0,0,0,13.590854015304826,0.35694444444444445
Asnières-sur-Seine 92600 (Bécon - Bourguignons),92600,92,48.9167,2.2833,0.7448806221655867,20.63714685196496,0,0,1,0,1.1021119432655697,0.14944444444444444
Asnières-sur-Seine 92600 (Centre-ville),92600,92,48.9089508,2.2909919999999997,0.6552980250552919,20.146449027651148,1,0,0,0,0.38010014709094053,0.022222222222222223
Asnières-sur-Seine 92600 (Coubertin),92600,92,48.927974600000006,2.2842434,0.3094677802010416,21.177107156533644,0,0,1,1,0.6924149981418662,0.08694444444444445
Asnières-sur-Seine 92600 (Gresillons - Voltaire),92600,92,48.9126973,2.2961891,0.4243710036042146,20.222914690351057,0,0,1,0,0.944550850786353,0.06527777777777778
Athis-Mons 91200 (Centre-ville),91200,91,48.710345000000004,2.3839322,1.0094142301249311,25.996249354654925,0,0,0,1,0.24537915063421636,0.035277777777777776
Athis-Mons 91200 (Le Noyer Renard),91200,91,48.704767600000004,2.3633442000000002,1.247738052535926,26.24362981907505,0,0,0,1,1.4626872420785042,0.08472222222222223
Athis-Mons 91200 (Mons - Plaine Basse),91200,91,48.7058874,2.4001304,0.7927751522526905,26.517960619045997,0,1,0,0,1.3294375941954222,0.07972222222222222
Athis-Mons 91200 (Plateau - Pyramide),91200,91,48.7052,2.3915,1.2165029575459965,26.45707710459926,0,1,0,0,0.7527453468480282,0.07222222222222222
Athis-Mons 91200 (Val d'Athis),91200,91,48.7006701,2.3879511000000004,1.2951654043380092,26.751018678573075,0,1,0,0,0.9463940796810842,0.09444444444444444
Attainville 95570,95570,95,49.0578463,2.3446221,1.843047046762993,30.722234182263602,1,0,0,0,7.691994945664934,0.25527777777777777
Aubergenville 78410,78410,78,48.9591392,1.8554319,1.5361911453564125,42.68984671459062,1,0,0,0,5.911253804302401,0.18666666666666668
Aubervilliers 93300 (Centre-ville - Victor Hugo),93300,93,48.9167,2.3833,0.8807523356794976,20.463429914308783,0,1,0,0,0.3848135524325956,0.03833333333333333
Aubervilliers 93300 (Landy-Plaine - Marcreus - Pressensé),93300,93,48.9167,2.3833,0.8807523356794976,20.463429914308783,0,1,0,0,0.3848135524325956,0.03833333333333333
Aubervilliers 93300 (Maladerie - Emile Dubois),93300,93,48.9167,2.3833,0.8807523356794976,20.463429914308783,0,1,0,0,0.3848135524325956,0.03833333333333333
Auffargis 78610,78610,78,48.6998475,1.8861417,2.3012072994926784,42.81940071129946,1,0,0,0,7.342240906548381,0.19416666666666665
Aufferville 77570,77570,77,48.214726899999995,2.6098629,7.181748923924053,75.02778623072284,1,0,0,0,9.102163822352598,0.19583333333333333
Auffreville-Brasseuil 78930,78930,78,48.9548027,1.7102362000000002,3.229192713582827,51.789881197891894,1,0,0,0,4.090802430003191,0.21166666666666667
Aulnay-sous-Bois 93600,93600,93,48.934231,2.499789,0.386479548323822,24.949705288969042,1,1,0,1,0.7816563961575915,0.06805555555555555
Aulnay-sous-Bois 93600 (Balagny - La Plaine - Tour Eiffel),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Chanteloup - Pont de l'Union),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Mairie - Paul Bert),93600,93,48.936224200000005,2.4901249,0.5971036519941912,24.653014273545413,1,1,0,1,1.2510535717006939,0.13972222222222222
Aulnay-sous-Bois 93600 (Merisiers - Etangs),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Nonneville),93600,93,48.9244135,2.4898458999999997,0.9599530633254544,24.109095216296467,1,1,0,1,0.8298300199355553,0.07861111111111112
Aulnay-sous-Bois 93600 (Ouest Edgar Degas),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Prevoyant - Le Parc),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Savigny - Mitry),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sous-Bois 93600 (Vieux Pays - Roserai - Bourg),93600,93,48.9381,2.494,0.6658681627850401,24.898089266821962,1,1,0,1,1.2970074847010087,0.10861111111111112
Aulnay-sur-Mauldre 78126,78126,78,48.92968629999999,1.8411487000000002,1.0056044391860854,42.81018297799285,1,0,0,0,9.127611572887481,0.3136111111111111
Auteuil 78770,78770,78,48.84148029999999,1.8219502,4.342223401748199,43.276857376109724,1,0,0,0,10.609483118362823,0.28583333333333333
Autouillet 78770,78770,78,48.847801000000004,1.8029968999999997,5.005665046045157,44.4788323801568,1,0,0,0,12.132810797985591,0.31916666666666665
Auvernaux 91830,91830,91,48.527848799999994,2.4926321,3.9046797555563617,42.704631416675106,0,1,0,0,9.209172428050218,0.29527777777777775
